,senior_citizen,partner,dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,churn,gender_Male,gender_Female,internet_service_DSL,internet_service_Fiber_optic,contract_Month_to_month,contract_One_year,contract_Two_year,payment_method_Electronic_check,payment_method_Mailed_check,payment_method_Bank_transfer,payment_method_Credit_card
senior_citizen,1.0,0.016478657597413914,-0.21118508849395765,0.008576401079279436,0.14294817476276184,-0.03865270449719511,0.06657213514513456,0.05942849428693296,-0.06062459069356322,0.10537766784282372,0.12017625118896554,0.1565295593111728,0.15088932817647308,-0.001873711638260736,0.001873711638260736,-0.10832221369858332,0.2553377729551278,0.13836046440264252,-0.046262442927019434,-0.11700001812504596,0.17171777869093657,-0.1534774904289597,-0.01615894086219962,-0.02413537236031893
partner,0.016478657597413914,1.0,0.4526762829294638,0.017705663223972032,0.14205707936228607,0.14310622750264376,0.14149801947228124,0.1537864356307792,0.11999886976431604,0.12466580056491688,0.11741185447194503,-0.01487662228789104,-0.15044754495917656,-0.0018080796617890207,0.0018080796617890207,-0.0008509247739520922,0.00030366541646425284,-0.2808652261083147,0.08278330748148327,0.2480906545375637,-0.0838516893627101,-0.0951248588229323,0.1107063695247777,0.08202919645732606
dependents,-0.21118508849395765,0.4526762829294638,1.0,-0.0017616785446837107,-0.024525804414100582,0.0809716602324835,0.02367101301051336,0.013962535653790216,0.0632681413996536,-0.01655774295103739,-0.03974096205892347,-0.11137722919364425,-0.16422140157972528,0.010516611922734079,-0.010516611922734079,0.05201034806467352,-0.16581835875542264,-0.2317201661297157,0.06836848043822015,0.2046134469477408,-0.15064248847911277,0.059071012814667215,0.052020980947400625,0.060267000176367116
phone_service,0.008576401079279436,0.017705663223972032,-0.0017616785446837107,1.0,0.27968999474291284,-0.09289270011220904,-0.05231224294763558,-0.07122688671747489,-0.09633961826825954,-0.022573591794937096,-0.032958892364781014,0.01650480573256966,0.01194198002900308,-0.0064876721362082,0.0064876721362082,-0.4524254899613094,0.2899989345730833,-0.0007424302790416189,-0.002790643098632428,0.00351890756850818,0.0030618298454301216,-0.0033187895436076163,0.007556212925145839,-0.007721160009099399
multiple_lines,0.14294817476276184,0.14205707936228607,-0.024525804414100582,0.27968999474291284,1.0,0.09810813969726385,0.20223701632049457,0.20113653254496036,0.10057130998573958,0.25715163510824707,0.25875149199377806,0.16353017421292795,0.040102127699826136,-0.008413655871516396,0.008413655871516396,-0.19992020935336424,0.36608324961178823,-0.0882031323378215,-0.0037935880457818515,0.10625270251960535,0.08361817831666886,-0.22720630042805826,0.07552652675123063,0.06004835777743542
online_security,-0.03865270449719511,0.14310622750264376,0.0809716602324835,-0.09289270011220904,0.09810813969726385,1.0,0.2838322335327233,0.27543797874378695,0.35493070789276254,0.17620730704239468,0.18739833092624983,-0.003635897148474219,-0.17122629194855268,-0.017020796813959464,0.017020796813959464,0.32126890794490365,-0.03069571096235291,-0.2466788676313616,0.10016245689105224,0.19177339915202254,-0.11233777625407111,-0.08079805377720074,0.09515804273500761,0.11572065517555405
online_backup,0.06657213514513456,0.14149801947228124,0.02367101301051336,-0.05231224294763558,0.20223701632049457,0.2838322335327233,1.0,0.3035462090113273,0.2942328784068946,0.2821064219717708,0.2745012019605009,0.12673537300697288,-0.08225486893814252,-0.013773188729006045,0.013773188729006045,0.15788439397405205,0.16565089083393225,-0.164172333092541,0.08372237279771902,0.11139959504621792,-0.00040771587258833634,-0.17416391693980873,0.08700369093869702,0.09078478545256993
device_protection,0.05942849428693296,0.1537864356307792,0.013962535653790216,-0.07122688671747489,0.20113653254496036,0.27543797874378695,0.3035462090113273,1.0,0.333312562315438,0.3908740269195831,0.40211053776617217,0.10379680498154187,-0.06615979128028991,-0.002104582651388708,0.002104582651388708,0.14629064131472247,0.17604889095154472,-0.22566200253940147,0.10249519931671587,0.16509639131423764,-0.003350773408871422,-0.1873734874635507,0.08311454613206692,0.11155436356101214
tech_support,-0.06062459069356322,0.11999886976431604,0.0632681413996536,-0.09633961826825954,0.10057130998573958,0.35493070789276254,0.2942328784068946,0.333312562315438,1.0,0.2780702036372546,0.27935847892842425,0.037879900207281304,-0.16467355590159383,-0.009211760356587686,0.009211760356587686,0.31311792686094814,-0.020492402500577475,-0.2852413102955614,0.09577473766009484,0.24082355652920404,-0.11483871499570016,-0.08550850677032863,0.10125246802180814,0.11727230654467356
streaming_tv,0.10537766784282372,0.12466580056491688,-0.01655774295103739,-0.022573591794937096,0.25715163510824707,0.17620730704239468,0.2821064219717708,0.3908740269195831,0.2780702036372546,1.0,0.5330938326943183,0.22384098246010242,0.06322774611875741,-0.008392549998357647,0.008392549998357647,0.016273726794572924,0.3293485259115563,-0.1122824271459316,0.061612433829261244,0.07204904102061016,0.14462638547453485,-0.2477424236074198,0.04625225164274548,0.040433080354261595
streaming_movies,0.12017625118896554,0.11741185447194503,-0.03974096205892347,-0.032958892364781014,0.25875149199377806,0.18739833092624983,0.2745012019605009,0.40211053776617217,0.27935847892842425,0.5330938326943183,1.0,0.21171599176513073,0.06138154801518705,-0.010487356300500275,0.010487356300500275,0.025697831994172138,0.322922698084827,-0.11663335681857982,0.06492603542901962,0.07395984413698499,0.1379663754069014,-0.2505954638083169,0.04865217505038141,0.04857480053298354
paperless_billing,0.1565295593111728,-0.01487662228789104,-0.11137722919364425,0.01650480573256966,0.16353017421292795,-0.003635897148474219,0.12673537300697288,0.10379680498154187,0.037879900207281304,0.22384098246010242,0.21171599176513073,1.0,0.1918253316664679,-0.011753691221222193,0.011753691221222193,-0.0631210849300409,0.32685324851960446,0.16909644687222086,-0.05139115917344718,-0.14788875031016643,0.20886475546718752,-0.20539800518883627,-0.01633220352789353,-0.013588829059284418
churn,0.15088932817647308,-0.15044754495917656,-0.16422140157972528,0.01194198002900308,0.040102127699826136,-0.17122629194855268,-0.08225486893814252,-0.06615979128028991,-0.16467355590159383,0.06322774611875741,0.06138154801518705,0.1918253316664679,1.0,-0.008612095078997812,0.008612095078997812,-0.12421382390260385,0.3080197449448228,0.40510291068798987,-0.17782001834990796,-0.3022534693496506,0.30191874901128474,-0.09168283858842931,-0.11793667192853861,-0.13430175066262848
